[
[251, 288, 161, 142, 317, 138, 226, 307, 226, 268]
[194, 296, 135, 170, 272, 138, 238, 279, 211, 239]
[183, 309, 161, 217, 228, 119, 231, 246, 163, 215]
[212, 214, 161, 133, 269, 134, 127, 207, 170, 218]
[143, 269, 129, 154, 250, 134, 171, 215, 188, 195]
[235, 281, 179, 170, 263, 78, 241, 287, 216, 207]
[191, 221, 184, 222, 180, 92, 148, 169, 194, 181]
[188, 161, 141, 88, 194, 79, 133, 183, 142, 158]
[201, 211, 141, 155, 253, 117, 121, 217, 192, 205]
[253, 275, 216, 194, 275, 149, 188, 256, 217, 236]
]
